update,agent,pre_tanh_mean,pre_tanh_std,pre_tanh_max,weight_g,weight_v_norm
8,jammer_beamformer,0.8067785395355895,1.0157556441696096,3.331458568572998,0.012176461517810822,0.20104123651981354
9,jammer_beamformer,0.8137212685383857,1.0234134595125908,3.7334632873535156,0.012182177975773811,0.2162834107875824
10,jammer_beamformer,0.7940189010859467,1.0003077304107755,3.322911024093628,0.012214991264045238,0.22651900351047516
11,jammer_beamformer,0.7975615580459126,0.9899870169742242,3.341498374938965,0.012216289527714252,0.23523937165737152
12,jammer_beamformer,0.8007199617493898,1.013299446265548,5.535286903381348,0.012156090699136257,0.2478587031364441
13,jammer_beamformer,0.7901867652954534,0.9993935528052513,3.7085726261138916,0.012149959802627563,0.25811001658439636
14,jammer_beamformer,0.7964103889591061,1.0071009222278466,3.4846537113189697,0.01224865298718214,0.26834434270858765
15,jammer_beamformer,0.8056624298207462,1.001531809119645,3.3077328205108643,0.012507552281022072,0.28254979848861694
16,jammer_beamformer,0.7859796096589416,0.9908598689224976,3.643223285675049,0.012759623117744923,0.29443731904029846
17,jammer_beamformer,0.7860947539773769,0.981961457340696,3.2054309844970703,0.012921457178890705,0.30235618352890015
18,jammer_beamformer,0.8148884020489641,1.021356128979804,4.138251304626465,0.013066220097243786,0.31033942103385925
19,jammer_beamformer,0.8181573474742472,1.0284072061179454,3.7446436882019043,0.01322481781244278,0.3195658028125763
20,jammer_beamformer,0.8030667301868089,1.0022116094945497,3.329371929168701,0.013202102854847908,0.3308297097682953
21,jammer_beamformer,0.808161264245573,1.0252962164146286,3.760174512863159,0.01308581791818142,0.3386800289154053
22,jammer_beamformer,0.7959861425778363,1.0037855576044388,3.8175301551818848,0.013069408014416695,0.34224826097488403
23,jammer_beamformer,0.7834367298544385,0.9864508568707554,4.1473870277404785,0.013200846500694752,0.34606388211250305
24,jammer_beamformer,0.7889008054570295,0.9928570079572209,3.2355289459228516,0.013348395004868507,0.3527563810348511
25,jammer_beamformer,0.806979409685824,1.012794061369148,3.5564229488372803,0.013589221052825451,0.3589581251144409
26,jammer_beamformer,0.8016470535746776,1.0129811094319794,3.3123703002929688,0.014006510376930237,0.36816442012786865
27,jammer_beamformer,0.8026820151787252,1.0107421739511162,3.823528289794922,0.014429512433707714,0.3775561451911926
28,jammer_beamformer,0.8114687670711428,1.0135959939492118,3.2638401985168457,0.014741064980626106,0.3853723704814911
29,jammer_beamformer,0.8157217402148527,1.0190399066592997,3.4446845054626465,0.01490982435643673,0.3934745490550995
