episode,global_step,fading_model,control_mode,user_mobile,use_los_model,observation_mode,normalize_observations,enable_energy_harvesting,observation_has_eh,enable_ntn,satellite_altitude_km,hidden_dim,epsilon,target_tau,episode_reward_bps_step,avg_shaped_reward,avg_R_legit_mbps,avg_R_eve_mbps,avg_R_sec_mbps,eval_R_sec_mbps,last_eval_R_sec_mbps,episode_secrecy_mbits,avg_energy_j,avg_jammer_power_w,steps,relay_path_m,jammer_path_m,relay_displacement_m,jammer_displacement_m,final_d_UR_m,final_d_RB_m,final_d_UE_m,final_d_JE_m,rolling20,rolling20_avg_R_sec_mbps,rolling100,rolling100_avg_R_sec_mbps,convergence_gap,convergence_gap20_100_mbps
1788,357600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9056335972222223,0.005,751.1936193895153,3.755968096947577,8.215561875261372,6.830856456995715,4.1766176884563375,,7.314961009503563,83.53235376912677,2.532554320346894,0.2725,200,43.97018232010859,59.74135717786472,16.575262043470172,28.850865882330464,496.9564269950901,459.7275063173273,298.57754497194634,707.9689302395433,4.7500327277453644,4.7500327277453644,4.783882125674388,4.783882125674388,0.03384939792902397,0.03384939792902397
1789,357800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9055808194444445,0.005,950.1596244213351,4.7507981221066755,8.157291143577439,5.18967212110335,5.11812186686882,,7.314961009503563,102.36243733737642,2.5693693408820786,0.2775,200,69.38702958772662,46.34761010564694,27.39926475591646,26.098478384240163,500.11115531315346,455.21114230786236,605.1969793487933,729.1278439045715,4.752273639598136,4.752273639598136,4.7956695385508095,4.7956695385508095,0.043395898952673484,0.043395898952673484
1790,358000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9055280416666667,0.005,819.6623522974206,4.098311761487103,7.66361923692346,5.717557728395921,4.437865101690487,,7.314961009503563,88.75730203380974,2.5310528956072873,0.2725,200,45.72838255290802,49.781059945697756,19.41522695999119,19.824127962212398,730.5431989440906,498.7536588805797,470.94885693166515,712.7045124454753,4.723092443340767,4.723092443340767,4.801093048762172,4.801093048762172,0.07800060542140486,0.07800060542140486
1791,358200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9054752638888889,0.005,834.3512573089148,4.171756286544574,8.288606148012741,6.594503402411751,4.448194976393012,,7.314961009503563,88.96389952786022,2.540957382644369,0.245,200,54.65736447065549,55.48454253542083,34.487490883987384,15.311918386329765,512.6880070337423,305.2515707259485,644.6825974644737,757.1147762183782,4.753189139522492,4.753189139522492,4.7904359461927415,4.7904359461927415,0.03724680667024938,0.03724680667024938
1792,358400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9054224861111111,0.005,937.7749616933933,4.6888748084669665,7.936188872795927,5.1764716391625365,4.968635491921317,,7.314961009503563,99.37270983842635,2.541611875233765,0.3,200,55.106937779247815,47.503635581976454,26.11410631235329,22.15575348726329,618.1364291795916,361.6112927667712,631.776417113632,666.7234642674429,4.688437931654157,4.688437931654157,4.796042044698254,4.796042044698254,0.107604113044097,0.107604113044097
1793,358600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9053697083333333,0.005,964.3638790021662,4.821819395010831,7.822337838406285,5.1499734242940844,5.097656702104809,,7.314961009503563,101.95313404209618,2.5205477643450225,0.25875,200,51.477710225474425,48.734721498042425,22.549184082627846,20.801719566586804,755.0151976600647,350.3304186186061,699.4608807701517,240.26056614076106,4.7255441996158805,4.7255441996158805,4.807162383577031,4.807162383577031,0.08161818396115095,0.08161818396115095
1794,358800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9053169305555555,0.005,1228.3694256996644,6.141847128498322,9.15567758103588,4.345321547955959,6.422253305987553,,7.314961009503563,128.44506611975106,2.5734692275053344,0.26625,200,67.4509466826677,61.69305816667889,33.88131475736161,32.990347829839564,181.62755887997153,395.8328386214651,842.9084577764313,374.7292092001465,4.784346775828705,4.784346775828705,4.820420365002436,4.820420365002436,0.03607358917373116,0.03607358917373116
1795,359000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9052641527777778,0.005,992.6801012584974,4.963400506292487,8.723375917657535,5.846879819713853,5.247951366698358,,7.314961009503563,104.95902733396717,2.6083117396068602,0.28375,200,59.7435053886808,74.69372499501739,6.669523295617004,28.446570402975713,355.9031322456614,391.8920928255426,498.98696537471073,674.883034844369,4.785463107264692,4.785463107264692,4.817541586509422,4.817541586509422,0.03207847924472951,0.03207847924472951
1796,359200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.905211375,0.005,880.4713241493546,4.402356620746773,7.826639717263367,5.735006897347169,4.732415467754359,,7.314961009503563,94.64830935508719,2.5191176640638373,0.25,200,48.096912810648455,49.11500826732122,17.136252201594253,16.027457946685164,661.2346772928014,455.95053257870734,536.212686597179,467.28148374484766,4.810731100740909,4.810731100740909,4.826208606715428,4.826208606715428,0.0154775059745198,0.0154775059745198
1797,359400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9051585972222222,0.005,1027.192309198229,5.135961545991145,8.01916699279735,5.145008635449704,5.492383209252979,,7.314961009503563,109.84766418505957,2.6375931391168437,0.27625,200,46.74954912530908,91.9671970623196,25.879178196584835,54.00427142804812,523.0147997815706,527.2449036407608,315.9154392549493,218.40317529148263,4.946312824302648,4.946312824302648,4.830026954825793,4.830026954825793,0.11628586947685537,0.11628586947685537
1798,359600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9051058194444445,0.005,854.0885724442934,4.270442862221467,7.495020513776442,4.874711457743359,4.714903127068968,,7.314961009503563,94.29806254137938,2.544618778018406,0.2775,200,59.87134817237772,50.094516463165355,30.573656070565313,15.296238749589696,772.3267531076447,641.8066711520324,796.5081200087052,779.5161200657188,4.964303739375553,4.964303739375553,4.821890069176368,4.821890069176368,0.1424136701991845,0.1424136701991845
1799,359800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9050530416666667,0.005,993.0977947935437,4.965488973967719,7.936177825025434,4.85648909149894,5.276157440611817,,7.314961009503563,105.52314881223634,2.5503892276573996,0.27875,200,43.552409272916265,68.03211337214108,8.053401858696066,51.91985017938862,640.8931414319236,421.82766886434524,777.0150412946764,488.0160502271571,4.964118812595511,4.964118812595511,4.830497251061712,4.830497251061712,0.13362156153379878,0.13362156153379878
1800,360000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9050002638888889,0.005,855.8831228844351,4.2794156144221756,8.27016001009961,5.690753920310909,4.92432365787005,6.962761285285287,6.962761285285287,98.48647315740101,2.575649919255771,0.25125,200,66.52089751552009,50.035447159287266,30.171311329591937,20.3812582562823,424.70048927337393,398.22568919753576,957.9005998791539,826.7606495214417,4.98902980772172,4.98902980772172,4.829452284052122,4.829452284052122,0.159577523669598,0.159577523669598
1801,360200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9049474861111111,0.005,867.0326637569292,4.335163318784646,7.755106318980887,5.872468592193305,4.609382317445025,,6.962761285285287,92.1876463489005,2.523187523600708,0.28375,200,48.573211291471424,51.107396769989776,10.676410898092952,20.78408828763136,713.4559284795264,390.76470629255687,425.4313760892655,527.9185907182044,5.000430013443742,5.000430013443742,4.822782699685527,4.822782699685527,0.1776473137582144,0.1776473137582144
1802,360400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9048947083333333,0.005,779.5331317350323,3.8976656586751615,8.023376652608714,5.559248481832573,4.7068008603692055,,6.962761285285287,94.13601720738411,2.521603447008813,0.25125,200,55.418763907213766,42.968591415613126,28.682253879477667,18.134512091387894,556.7132561306161,587.5813781060579,849.3669232251187,1017.246884885511,4.956666552447161,4.956666552447161,4.8171230923194885,4.8171230923194885,0.1395434601276726,0.1395434601276726
1803,360600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9048419305555555,0.005,1008.6292852140218,5.043146426070109,9.134181737103196,6.954301933220731,5.316654754038798,,6.962761285285287,106.33309508077598,2.51678362802113,0.26375,200,55.52586795088302,38.69537473109372,13.312012609668013,6.331838895600705,251.1661682636221,305.7662422717948,216.35615242526882,343.51069431639826,4.962453582568976,4.962453582568976,4.855712832744234,4.855712832744234,0.10674074982474213,0.10674074982474213
1804,360800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9047891527777778,0.005,965.8513424640777,4.8292567123203884,7.355674430618064,4.97857339048804,5.1164838276944,,6.962761285285287,102.329676553888,2.5761695017497384,0.27125,200,65.2709494296335,62.82597690141822,44.57753390119847,29.99505796285261,1021.0627312969361,404.4349920812441,500.15187867039606,120.87291485075838,4.931115644624949,4.931115644624949,4.864523827670687,4.864523827670687,0.0665918169542623,0.0665918169542623
1805,361000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.904736375,0.005,859.8094011519687,4.299047005759843,9.025828978444244,6.798659713694325,4.8198398687697575,,6.962761285285287,96.39679737539515,2.5296206853382417,0.26,200,52.055249857327,53.287486244415824,18.401121329956176,4.465718822362738,285.42719170147046,230.776260980599,471.71061152835034,850.7083231108774,4.924885252673541,4.924885252673541,4.871071736318827,4.871071736318827,0.05381351635471443,0.05381351635471443
1806,361200,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9046835972222222,0.005,782.24150481054,3.9112075240527004,7.849661385629934,6.130749598642895,4.620690569613441,,6.962761285285287,92.41381139226884,2.551923755027498,0.25375,200,53.50561784326946,52.93472705159794,7.097191561841447,33.57271384401619,590.068898947889,659.420195859172,520.7198176156477,445.74028463593953,4.927097263243182,4.927097263243182,4.861865129742846,4.861865129742846,0.06523213350033608,0.06523213350033608
1807,361400,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9046308194444445,0.005,882.6004513423646,4.413002256711823,9.044636445681148,6.50538172895764,4.913329071019325,,6.962761285285287,98.26658142038649,2.536890117792824,0.24125,200,61.598444287400696,43.60188868130728,43.77082397077243,18.178677180903467,209.37468837458775,454.1022217724718,650.0230768486823,1169.4643066056708,4.958033033581441,4.958033033581441,4.867293460004745,4.867293460004745,0.09073957357669649,0.09073957357669649
1808,361600,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9045780416666667,0.005,625.9216833943467,3.1296084169717333,7.763280528607194,6.5864099705175105,4.143931228057756,,6.962761285285287,82.87862456115512,2.526970152402383,0.2375,200,59.5542299950621,41.58521404940669,37.28329761380201,5.852858406778822,681.246166021024,551.6353371188329,561.9149317385331,671.7851898670239,4.956398710561512,4.956398710561512,4.858552572577263,4.858552572577263,0.09784613798424857,0.09784613798424857
1809,361800,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9045252638888889,0.005,889.2982354673286,4.446491177336643,7.728923250694678,5.102927200648886,4.7286451098208655,,6.962761285285287,94.5729021964173,2.5721360844124326,0.26125,200,57.125216789824364,62.688084083811894,16.839039011916725,32.07293592381801,825.6041153101281,296.17470860252513,916.2498677855799,870.4066045382249,4.936924872709113,4.936924872709113,4.8552071096184,4.8552071096184,0.08171776309071355,0.08171776309071355
1810,362000,rayleigh,velocity,True,False,full,True,False,False,False,500.0,32,0.9044724861111111,0.005,1255.5217188196077,6.277608594098038,9.220092858903339,4.231399506116206,6.558544831122783,,6.962761285285287,131.17089662245567,2.5275527948132304,0.27875,200,62.20227287969088,38.37245575434706,14.051327201430684,5.775999339716576,99.85567296022072,391.4415773923798,883.583936613177,212.0295886476348,5.042958859180728,5.042958859180728,4.859792662318736,4.859792662318736,0.18316619686199154,0.18316619686199154
