slot,pre_projection_power,post_projection_power,projection_distance
0,3.4836998253489546,3.4836998253489546,0.0
1,5.038744960058601,5.038744960058601,0.0
2,4.3396627519415185,4.3396627519415185,0.0
3,3.897566029653263,3.897566029653263,0.0
4,4.7257446253615605,4.7257446253615605,0.0
0,7.7941136766758845,7.7941136766758845,0.0
1,7.123537379477956,7.123537379477956,0.0
2,6.906086118830173,6.906086118830173,0.0
3,7.556552450067794,7.556552450067794,0.0
4,6.792914424894282,6.792914424894282,0.0
0,7.83295107964916,7.83295107964916,0.0
1,7.2081865110110135,7.2081865110110135,0.0
2,7.10488175881531,7.10488175881531,0.0
3,7.6107409706446845,7.6107409706446845,0.0
4,6.78137495904758,6.78137495904758,0.0
0,7.901467386762324,7.901467386762324,0.0
1,7.380940777810069,7.380940777810069,0.0
2,7.459164044933687,7.459164044933687,0.0
3,7.737118472093179,7.737118472093179,0.0
4,6.832287440580457,6.832287440580457,0.0
0,7.975112880211089,7.975112880211089,0.0
1,7.715773891544412,7.715773891544412,0.0
2,7.874059363983068,7.874059363983068,0.0
3,7.918761858592416,7.918761858592416,0.0
4,7.181889372109969,7.181889372109969,0.0
0,4.165428217176331,4.165428217176331,0.0
1,5.114975759606655,5.114975759606655,0.0
2,4.197057468009084,4.197057468009084,0.0
3,4.169306447187406,4.169306447187406,0.0
4,5.111073829101441,5.111073829101441,0.0
0,7.756734119909627,7.756734119909627,0.0
1,7.050785887788962,7.050785887788962,0.0
2,6.743504576359122,6.743504576359122,0.0
3,7.497300223278036,7.497300223278036,0.0
4,6.813027077135978,6.813027077135978,0.0
0,7.978903037532949,7.978903037532949,0.0
1,7.746996551023102,7.746996551023102,0.0
2,7.896116796745001,7.896116796745001,0.0
3,7.929725118989722,7.929725118989722,0.0
4,7.198674623201261,7.198674623201261,0.0
